rate_C_year,location,lat,long,spatial extent,method_LSWT,method_trend,aggregation_mean_min_max_etc,annual_seasonal_data,n_lakes,n_years,min_year,max_year,paper_source,citation,citation_short,journal,other notes?,link,
0.034,World,40.72970874,-40.41908477,global,remote sensing and in situ,Sen's slope,mean,summer,235,24,1985,2009,,O'Reilly et al. 2015,O'Reilly et al. 2015,,,,
0.05,Poland,54.01719751,18.53307838,country,machine learning reconstruction of in situ observations,Sen's slope,mean,annual,13,29,1993,2022,,Sojka and Ptak 2024 Reconstruction of Surface Water Temperature in Lakes as a Source for Long-Term Analysis of Its Changes,Sojka and Ptak 2024,Water (MDPI),"they look at monthly rates of change (November having largest, May having smallest); useful reference to World Meteorological Organization (2019) stating that 30-year trends are best practice for climatic analyses, found only warming trends in these lakes",https://www.mdpi.com/2073-4441/16/23/3347,
0.023,"Lake Inari, Arctic zone",69.05006353,27.79468173,point,modelled using machine learning + air temp,Pinhas's method (linear regression + ANOVA),mean,annual,1,63,1960,2023,,Kim et al. 2024 Machine learning-based modeling of surface water temperature dynamics in arctic lakes,Kim et al. 2004,Environmental Science and Pollution Research,they talk about Sen's slope but say Pinhas's method is better,https://link-springer-com.ezproxy.waikato.ac.nz/article/10.1007/s11356-024-35173-x,
0.04,European lakes,53.85763651,18.81335903,region,"In situ, satellite, used skin validation with bulk . Included a probability cloud mask after Musial et al. ",,mean,annual,26,35,1981,2016,,Lieberherr and Wunderle 2018,Lieberherr and Wunderle 2018,Remote Sensing (MDPI),"also calculate seasonal trends; Increasing trends from south (Lake Trichonida 0.21 K/decade,) to north (Inarijärvi 0.50 K/decade), and west (Thingvallavatn 0.38 K/decade) to east (Lake Onega 0.76 K/decade. ""They talk about the correction methods for the skin to bulk difference and that it didn't improve the validation performance: ""The method, applied to LSWT, only affects the systematic bias and has no effect on the variance of the error.""  ""Schneider and Hook  mention elevated summer trends in Northern Europe of up to around 0.8 K/dec""",https://www.mdpi.com/2072-4292/10/7/990 ,
0.037,Tibetan Plateau (Asia),32.55764759,89.9776309,region,"In situ, Satellite, derived by MODIS and Land Surface Temperature (LST)","Linear trend analysis, statistical significance",mean,winter,374,14,2001,2015,,Wan et al. 2018,Wan et al. 2018,Geophysical Research Letters,Has warming (0.076 °C/year) and cooling (?0.053 °C/year) lakes.  also reports seasonal means,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GL078601 ,
0.072,Tibetan Plateau (Asia),32.55764759,89.9776309,region,"In situ, Satellite, derived by MODIS and Land Surface Temperature (LST)","Linear trend analysis, statistical significance",mean,autumn,374,14,2001,2015,,Wan et al. 2018,Wan et al. 2018,Geophysical Research Letters,Has warming (0.076 °C/year) and cooling (?0.053 °C/year) lakes.  also reports seasonal means,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GL078601 ,
0.023,Tibetan Plateau (Asia),32.55764759,89.9776309,region,"In situ, Satellite, derived by MODIS and Land Surface Temperature (LST)","Linear trend analysis, statistical significance",mean,summer,374,14,2001,2015,,Wan et al. 2018,Wan et al. 2018,Geophysical Research Letters,Has warming (0.076 °C/year) and cooling (?0.053 °C/year) lakes.  also reports seasonal means,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GL078601 ,
0.019,Tibetan Plateau (Asia),32.55764759,89.9776309,region,"In situ, Satellite, derived by MODIS and Land Surface Temperature (LST)","Linear trend analysis, statistical significance",mean,spring,374,14,2001,2015,,Wan et al. 2018,Wan et al. 2018,Geophysical Research Letters,Has warming (0.076 °C/year) and cooling (?0.053 °C/year) lakes.  also reports seasonal means,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GL078601 ,
0.037,Tibetan Plateau (Asia),32.55764759,89.9776309,region,"In situ, Satellite, derived by MODIS and Land Surface Temperature (LST)","Linear trend analysis, statistical significance",mean,annual,374,14,2001,2015,,Wan et al. 2018,Wan et al. 2018,Geophysical Research Letters,Has warming (0.076 °C/year) and cooling (?0.053 °C/year) lakes.  also reports seasonal means,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GL078601 ,
0.024,China,34.46281692,105.9737241,country,remote sensing skin temp (google earth engine + time series modelling to fill gaps),linear regression,mean,annual,1451,20,2001,2021,,Song et al. 2024 Lake surface water temperature in China from 2001 to 2021 based on GEE and HANTS,Song et al. 2024,Ecological Informatics," (726 of lakes were small, 1-5 km2); Fig 8 shows the effect of lake area and elevation LSWT change; they found nighttime temps increased more than daytime temps, looks like they use skin temperature without correcting for bulk temperature, also noted an abrupt change in the rate of LSWT change around 2010, good notes on reasons for slower rate of change in LSWT (no ice, models may exaggerate in other studies)",https://www.sciencedirect.com/science/article/pii/S157495412400445X,
0.04,China,34.66573538,105.9963216,country,"Data set includes remote sensing products, climate analysis data, and metereological observation data.",FLake (One-dimensional thermodynamic model),mean,annual,91,39,1979,2018,,"Huang, L., Wang, X., Yan, Y., Jin, L., Yang, K., Chen, A., ... & Piao, S. (2023). Attribution of lake surface water temperature change in large lakes across China over past four decades. Journal of Geophysical Research: Atmospheres, 128(21), e2022JD038465.",Huang et al. 2023,,,https://doi.org/10.1029/2022JD038465,
0.043,Greece,40.36428348,21.90833815,country,"ERA5 skin surface temp (this is for each grid cell, not an individual lake though and therefore is sometimes representative of land-surface temps)",Generalized Additive Models,mean,annual,18,39,1981,2020,,Stefanidis et al. 2021,Stefanidis et al. 2021,Sustainability (MDPI),Paper uses ERA5 climate and lake skin surface temp. Uses skin surface temperature without correctionhas several references for defending this,https://www.mdpi.com/2071-1050/13/17/9908,
0.044,North Temperature lakes,40.93592624,-29.12499505,region,long-term dataset (with lake characteristics) +  regression tree analysis,Sen's slope,mean,summer,345,38,1979,2017,,"Zhou et al., Controls of thermal response of temperate lakes to atmospheric warming",Zhou et al. 2023,Nature Communiations,Summer temperatures (July 15 to August 31); random forest to calculate variables important for explaining future trends (i.e. differences between air and water); large methods section with description of different approaches,Controls of thermal response of temperate lakes to atmospheric warming | Nature Communications,
0.05,Poland,54.05407016,21.89012957,country,"Air2Water model (Piccolroaz, S. Prediction of lake surface temperature using the air2water model: Guidelines, challenges, and future perspectives. Adv. Oceanogr. Limnol. 2016, 7, 1.)",Sen's slope (“mk” R package),mean,annual,2,69,1954,2023,,Ptak et al. 2024,Ptak et al. 2024,MDPI: Resources,Table 4 for all year-to-year configurations,https://www.mdpi.com/2079-9276/13/11/149#B23-resources-13-00149,
0.044,Polish lowland lakes,53.62031508,18.70476291,country,daily in situ measurements,"Mann Kendall trend test and Sen's slope, correlation coefficient btw LSWT and air temp",mean,annual,25,29,1987,2016,,"Wang, R., Dong, W., Sun, J., Sojka, M., Ptak, M., & Zhu, S. (2025). Long-Term Trends of Lake Surface Water Temperatures in Lowland Polish Temperate Lakes. Atmosphere, 16(2), 120.",Wang et al. 2025,Atmosphere (MDPI),"showed different trends between annual mean and annual max, focus on differences across seasons, as well as relationship between water and air temperature",https://www.mdpi.com/2073-4433/16/2/120,
-0.0005,New Zealand,-40.72371915,173.7812795,country,remote sensing skin temp (google earth engine + time series modelling to fill gaps),,mean,winter,313,24,2000,2023,,,This study,,,,
0.01,New Zealand,-40.72371915,173.7812795,country,remote sensing skin temp (google earth engine + time series modelling to fill gaps),,mean,autumn,313,24,2000,2023,,,This study,,,,
0.05,New Zealand,-40.72371915,173.7812795,country,remote sensing skin temp (google earth engine + time series modelling to fill gaps),,mean,summer,313,24,2000,2023,,,This study,,,,
0.01,New Zealand,-40.72371915,173.7812795,country,remote sensing skin temp (google earth engine + time series modelling to fill gaps),,mean,spring,313,24,2000,2023,,,This study,,,,
0.015,New Zealand,-40.72371915,173.7812795,country,remote sensing skin temp (google earth engine + time series modelling to fill gaps),,mean,annual,313,24,2000,2023,,,This study,,,,
0.012,Tibetan Plateau,30.98600192,88.92298852,region,MODIS/Terra 8 day LST (nighttime),linear regression,mean,annual,52,11,2001,2012,google scholar,"Zhang, G., Yao, T., Xie, H., Qin, J., Ye, Q., Dai, Y., & Guo, R. (2014). Estimating surface temperature changes of lakes in the Tibetan Plateau using MODIS LST data. Journal of Geophysical Research: Atmospheres, 119(14), 8552-8567.",Zhang et al. 2014,JGR Atmospheres,"used nighttime MODIS estimates, 40% of lakes cooled, trends over longer time period for one lake are also provided (Nam Co)",https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2014JD021615,
0.026,Tibetan Plateau,33.15051122,91.79559372,region,MODIS/Terra 8 day LST ,linear regression,mean,annual,169,15,2001,2016,google scholar,"Xie, C., Zhang, X., Zhuang, L., Zhu, R., & Guo, J. (2022). Analysis of surface temperature variation of lakes in China using MODIS land surface temperature data. Scientific Reports, 12(1), 2415.",Xie et al. 2022,Scientific Reports,"also do a driver analysis: found that LSWT primarily driven by lat/long/altitude, with SA and vol as mediators",https://www.nature.com/articles/s41598-022-06363-9,"OR, MS"
