LID,t50_fid,LCDB_UID,Name,Geomorphic,ArtInfo,Wetland,Ephemeral,Depth_Meas,NewAreaHa,CentroidX,CentroidY,Region,Primary,Natural2,Natural3,Natural4,Natural5,Current2,Current3,Current4,Current5,MaxDepth,DecTemp,DecSolrad,Fetch,SumWind,Urban,Pasture,WoniUnit,WoniProvin,LakeAreaHa,LakePerim,LakeVolume,LakeElevat,MeanWind,RegionalRa,RegionalCu,NationalRa,NationalCu,NationalPr,National_1,NaturalCov,LandusePre,Impervious,InvasivePl,InvasiveFi,DamEffectU,DamEffectD,SumPressur,SumPress_1,SumPress_2,SumPress_3,catAreaHa,Residence,NitrogenLo,PredMacrop,ActualMacr,ClarityPro,LakeElev,catArea,catPerim,catSlope,catFlow,catElev,catAnnTemp,catDecSolR,catJuneSol,catPhos,catCalc,catHard,catPsize,catAlluv,catBeech_1,catGlacial,catPeat,catImpervi,catNatural,catPasture,SBTI,SBTI_Troph,MfE_TN_Med,MfE_NH4N_M,MfE_TP_Med,MfE_CHLA_M,MfE_CHLA_A,MfE_CLAR_M,MfE_TLI3_M,MfE_TLI4_M,MfE_ECOLI_,MfE_ECOLI1,MfE_ECOL_1,MfE_ECOL_2,Abell_TLI,Ab_TLI_Low,Ab_TLI_Upp,Abell_TN,Ab_TN_Lowe,Ab_TN_Uppe,Abell_TP,Ab_TP_Lowe,Ab_TP_Uppe,Abell_Chla,Ab_Chl_Low,Ab_Chl_Upp,Abell_Secc,Ab_Sec_Low,Ab_Sec_Upp,Lat,Long,Alpine_Gra,Indi_Hard,Built_up,Decid_Hard,Dep_Grass,Dune_Shrub,Estu_Wat,Exot_For,Fernland,Flaxland,For_Harv,Gorse,Gravel,Herb_FW_Ve,Herb_Sal_V,High_Prod_,Indi_For,Landslide,Low_Prod_G,Manuka,Matagouri,Mixed_Exo_,Orchard,Peat_Shrub,Per_Snow,River,Sand,Short_rot_,Sub_Alp_Sh,Mine,Tussock,Trans_Infr,Parkland
1,0, ,Lake Onoke,B,0,0,0,1,653.8465441,175.1300787,-41.38097455,Wellington,A,A.1,A.1.1,A.1.1.1,A.1.1.1.1,A.1,A.1.1,A.1.1.1,A.1.1.1.1,7.6957698,17.1800003,2326.530029,3657,6.0599999,0.49,60.6100006,Manawatu-Wairarapa,Southern North Island Province,622.3839722,13414.7998,15965800,0.18,5.9050698,211,99.9384003,3005,94.4833908,1413,32.1515694,0.3675791,0.1016802,36.6816292,0,24,0,0.18714,0.1016802,0.0619331,0.1882654,0.1146719,342841.5,2.0150127,2251.731201,3.52,0,3.52,0.18,3428414976,555720,9.79,2892042240,288.8299866,11.296072,2320.850098,531.460022,1.77,1.65,2.5999999,3.0599999,0.0000008,14.6014948,0,0,2.2014449,27.6374302,61.5637627,5.246562481,Supertrophic,0.589353607,0.010631288,0.0403323,4.571409703,36.59867392,0.534287604,4.522663419,4.706752781,13.60227582,221.1229061,6.395692724,4.132947075,4.509355113,3.949270893,5.024870528,523.5539853,340.8267528,792.5750334,48.49466901,18.43141989,103.8515954,9.179853133,4.830824415,15.67617635,1.756671525,1.222698613,2.516187333,-41.3809658,175.130068,0.002174777,5.140579555,0.624837251,0.785617797,0,0,0,3.983207443,0.032950197,0,0.536900158,1.588683519,0.424432544,0.570907676,0,59.16317566,17.47578514,0.023841621,1.04542829,3.407117028,0,0.016756396,0.543545414,0,0,0.370947089,0.025464466,1.684991895,1.369270447,0.010197652,0.978563749,0.001648894,0.192975347
3,0, ,Lake Kohangapiripiri,B,0,0,0,2,10.82224852,174.8571317,-41.36099899,Wellington,A,A.2,A.2.1,A.2.1.1,A.2.1.1.1,A.1,A.1.2,A.1.2.1,A.1.2.1.1,7.64958,16.9099998,2295.310059,650,8.0799999,0,7.04,Wellington,Southern North Island Province,10.8217001,1919.300049,275937,15.71,7.8474398,2,40.4761925,651,13.4176788,228,3.2783628,0.9337106,0.8696984,0.616739,71.4000015,0,0,0,0.8696984,0.2129239,0.9005693,0.2204819,380.4299927,72.9859161,1.5567,2.4300001,1.7,1.7,15.71,3804300,13080,11.1700001,1379952.25,81.4800034,12.5227747,2327.780029,538.1900024,1.05,1.05,3.8,3.8,0.0001431,0,0,0,0.0163532,72.5756302,27.4901638,4.271667957,Eutrophic,0.471811806,0.008463962,0.015801629,3.230797418,20.0474894,2.062434894,3.788968039,3.743276824,3.464455096,112.8971125,2.467069635,2.170985508,4.407725863,3.998461408,4.844884101,614.1515899,418.140556,878.8548911,36.00668886,18.73376915,69.29469438,8.704736265,5.401646795,14.09038434,2.292925931,1.733724997,2.93026767,-41.36099193,174.8571312,0,14.68162437,0,0,0,0,0,0,0,0,0,48.21448333,0,5.292087275,0,0,0,0,28.42183557,0,3.150679409,0,0,0,0,0,0.239290052,0,0,0,0,0,0
4,0, ,Lake Kohangatera,B,0,0,0,3,21.3152966,174.866588,-41.36796376,Wellington,A,A.1,A.1.1,A.1.1.1,A.1.1.1.1,A.1,A.1.1,A.1.1.2,A.1.1.2.1,7.6319699,16.9599991,2322.399902,912,8.1800003,0,13.6300001,Wellington,Southern North Island Province,21.3141994,3709,542232,14.2700005,7.99545,4,95.2380981,1564,65.4583359,1099,21.6750317,0.8816864,0.7008459,0,88,0,0,0,0.7008459,0.1700888,0.7478451,0.181495,2035.979981,17.7193279,9.7494001,1.89,2,2,14.2700005,20359800,42420,13.2700005,11169423,61,12.2520218,2327.620117,534.7000122,1.15,1.15,3.52,3.52,0.0000684,32.0458946,0,0,0.1201201,65.9259262,14.3263378,4.827183247,Eutrophic,0.455420933,0.007095297,0.022548444,4.824888321,31.60276848,1.85384665,4.099742963,4.251203138,4.359289707,76.21018821,1.373074913,0.735497981,4.390908778,3.939695994,4.86207859,590.3618111,406.5456885,880.027047,35.93163289,17.06987381,72.81370978,8.457226982,5.02802955,13.99973615,2.157073144,1.603417021,2.858772877,-41.36795516,174.866581,0,5.371246562,0,0,0,0,0,0.165582429,0,0,0,29.97353474,0,3.699752513,0,5.424510875,45.23212345,0,9.848974998,0.180509313,0,0,0,0,0,0.053769469,0.049995652,0,0,0,0,0,0
6,0, ,Karori Reservoir low,A,D,0,0,0,1.187427156,174.7442117,-41.29919468,Wellington,B,B.1,B.1.1,B.1.1.1,B.1.1.1.1,B.1,B.1.1,B.1.1.1,B.1.1.1.1,21.9937,15.9200001,2226.909912,370,7.2800002,0,0,Wellington,Southern North Island Province,3.07144,1033.599976,225174,176.0200043,6.9911199,1,9.5238094,500,9.1630516,1581,36.2964706,0.9381592,0.7013524,0.0428319,0,0,0.9926471,1,0.7013524,0.7013524,0.724232,0.724232,179.5500031,120.2800446,0.5467,1.36,0,1.36,176.0200043,1795500,7860,12.3400002,683311.125,266.8800049,11.3601093,2299.429932,537.960022,1,1,4,4,0,0,0,0,2.0401106,73.3402481,0,0,0,0.3815461,0.004643452,0.01720713,4.147366,22.37511,2.950574,3.734909,3.691378,1.433659,30.3789,4.989104,0.4311827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0, ,Karori Reservoir upp,A,D,0,0,0,2.49756773,174.7517093,-41.29259491,Wellington,B,B.1,B.1.1,B.1.1.1,B.1.1.1.1,B.1,B.1.1,B.1.1.1,B.1.1.1.1,23.8519001,16.0599995,2254.110107,400,6.8699999,2.8900001,0,Wellington,Southern North Island Province,2.2216401,886,176635,156.9199982,6.5232201,3,47.6190376,1601,65.9117355,1582,36.2978096,0.7364323,0.5302728,436.9158936,0,0,1.2871287,1,0.5302728,0.5302728,0.6214595,0.6214595,244.2599945,69.3208847,1.7893,1.01,0,1.01,156.9199982,2442600,10140,12.25,930048.4375,204.1000061,11.452632,2300.669922,537.9000244,1,1,4,4,0,0,0,0,17.7713737,55.0432281,0,0,0,0.3955418,0.004408809,0.01633888,4.23543,21.97541,3.02162,3.760842,3.688108,1.435605,29.27462,11.33498,0.4271149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0, ,0,R,0,0,0,0,1.689365325,174.8766699,-41.356265,Wellington,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wellington,Southern North Island Province,1.68928,800.7000122,41031.80078,11.3000002,7.6993299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1724.040039,0,9.0290003,1.36,0,1.36,11.3000002,17240400,37320,13.71,9808308,130.5700073,12.1788034,2327.350098,534.039978,1.14,1.14,3.5699999,3.5699999,0.0000762,36.7315941,0,0,0.495784,88.9950409,10.7972612,5.040057182,Supertrophic,0.4814758,0.007140943,0.02263383,6.159391,44.116,1.946723,4.167018,4.30035,5.745972,91.81056,12.03887,1.406242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.35625511,174.8766604,0,6.236964737,0,0,0,0,0,0.193951424,0,0,0,24.94255681,0,1.534457761,0,6.353884368,52.29492265,0,8.231826539,0.211435709,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0, ,0,A,D,0,0,0,2.272314579,174.8919064,-41.11715507,Wellington,C,C.1,C.1.1,C.1.1.1,C.1.1.1.1,C.1,C.1.1,C.1.1.1,C.1.1.1.1,8.9875097,16.9500008,2339.649902,230,5.3000002,27.3999996,21,Wellington,Southern North Island Province,1.60621,594.7999878,48119.30078,29.8999996,5.2839298,5,97.6190491,2377,86.6434937,2427,86.9211578,0.5600134,0.5151628,9.7117958,0,60,0,0,0.5151628,0.1496371,0.7129006,0.2070732,107.6399994,29.7388458,0.9748,3.8,0,3.8,29.8999996,1076400,5880,9.4200001,590593.0625,96.9899979,12.449091,2308.350098,535.6599731,1.25,1.16,3.8,3.5999999,0,0,0,0,28.5549126,44.7398834,21.0025616,5.021370411,Supertrophic,0.441280624,0.00556987,0.017705468,5.927812477,24.8374422,2.638399888,4.191807318,3.786244248,4.340363279,113.579144,11.78675491,0.532349449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.11714599,174.8918987,0,1.92473926,28.09666485,0,0,0,0,5.805110316,0,0,0,35.18659763,0,0,0,14.28578281,2.001490901,0,5.316202367,0,0,0,0,0,0,0,0,0,0,0,0,6.804032915,0.579378945
70,0, ,0,B,0,0,0,0,7.49704847,175.4245812,-41.56606193,Wellington,C,C.1,C.1.1,C.1.1.1,C.1.1.1.1,C.2,C.2.1,C.2.1.1,C.2.1.1.1,7.7211399,17.5200005,2248.719971,170,5.1399999,0,82.0800018,Palliser-Kidnappers,Southern North Island Province,1.11816,440.7999878,28778.30078,13.1099997,5.2750001,0,0,0,0,0,0,0.3309326,0.3299477,12.9714098,0,0,0,0,0.3299477,0.3299477,0.6634858,0.6634858,16.4699993,172.3336334,0,3.4400001,0,3.4400001,13.1099997,164700,1800,18.7299995,60951.98828,103.6100006,12.9315786,2333.5,537.0800171,2,4,4,5,0,0,0,0,0,19.2592602,82.0868225,4.522529602,Eutrophic,0.7019838,0.01320162,0.02520491,7.304319,63.72816,1.928201,4.726089,4.699951,9.133924,143.5676,13.4172,4.890612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.56666655,175.4260661,0,0,0,0,0,0,0,0,0,0,0,0,7.909302514,0,0,91.47765718,0,0,0,0,0,0,0,0,0,0,0.613040301,0,0,0,0,0,0
119,0, ,0,RA,D,0,0,0,40.15626292,175.1273474,-41.36298643,Wellington,A,A.2,A.2.1,A.2.1.1,A.2.1.1.1,A.1,A.1.2,A.1.2.1,A.1.2.1.1,8.4812498,17.1700001,2327.570068,999,6.0500002,0,1.12,Manawatu-Wairarapa,Southern North Island Province,41.8773994,5429.899902,1183910,2.71,5.8743901,5,0.7288814,333,6.3351274,139,1.1002123,0.9945554,0.9144039,13.3635664,0,0,0,0,0.9144039,0.9144039,0.9169068,0.9169068,60.8400002,1799.604981,60.0237007,1.37,0,1.37,2.71,608400,3960,0.66,240122.9844,3.8800001,13,2330,535,1.39,2.0899999,0.69,0.69,0.0109466,0,0,0,0,98.4863739,1.1217949,3.2892735,Mesotrophic,0.568428456,0.018650512,0.018405754,4.821859295,38.95656155,1.67763945,4.159648753,3.83387172,17.04793026,450.2374495,11.61227536,2.407707723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.36298486,175.1273344,0,0,0,0,0,0,0,0,0,0,0,0,0,95.04309816,0,4.956901844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0, ,Lake Nganoke,R,0,0,0,2,4.142241734,175.1860653,-41.35584572,Wellington,C,C.1,C.1.1,C.1.1.1,C.1.1.1.2,C.2,C.2.1,C.2.1.1,C.2.1.1.1,6.9999599,17.1000004,2326.409912,370,5.8400002,0,90.8000031,Manawatu-Wairarapa,Southern North Island Province,3.0970099,858,72263,19.9099998,5.64676,99,10.5019989,2019,73.7763138,2094,79.1740799,0.3075195,0.2820048,3.2385805,0,0,0,0,0.2820048,0.2820048,0.5990566,0.5990566,174.4199982,38.2931557,1.3852,2.3099999,0,2.3099999,19.9099998,1744200,11220,2.6500001,688791.625,44.7000008,12.7893858,2325.570068,537,2.0899999,2,1.1900001,1.39,0.0006784,0,0,0,3.3728023,4.7721562,90.8040924,5.300879002,Supertrophic,0.998855878,0.030779472,0.091579708,11.79741316,118.6161202,1.531012759,5.406804843,4.68823697,19.34813178,164.3659199,8.571078482,2.761600035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.35583983,175.1860576,0,1.952917331,0,0,0,0,0,7.751120562,0,0,0,0,0,0.986423127,0,88.09012328,1.219415696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
