"site","reference_period","parameter","period_start","period_end","p_value","slope","conf_low","conf_high","conf_level","z","trend_method","n","note","s","var_s","tau","alternative","trend_likelihood","lat","lon"
"Auckland (Auckland)",NA,"Maximum one-day rainfall","1960-01-01","2022-12-31",0.08222826651692401,-0.20000000000000023,-0.39799999999999996,-0.0103448275862068,0.9,-1.7379009599781385,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-37.00813,174.78873
"Auckland (Auckland)","1961-1990","Very wet days","1960-01-01","2022-12-31",0.10561568844870561,-0.023809523809523808,-0.05405405405405406,0,0.9,-1.6182177055921454,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-37.00813,174.78873
"Auckland (Auckland)","1961-1990","Rainfall due to very wet days","1960-01-01","2022-12-31",0.09917982149046109,-0.09467780136861291,-0.18005805359215554,-2.1622608224529488e-4,0.9,-1.6488429101261257,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-37.00813,174.78873
"Auckland (Auckland)","1991-2020","Very wet days","1960-01-01","2022-12-31",0.11194054843250358,-0.029411764705882353,-0.0625,0,0.9,-1.5895310557463491,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-37.00813,174.78873
"Auckland (Auckland)","1991-2020","Rainfall due to very wet days","1960-01-01","2022-12-31",0.07138016786907826,-0.10446000508115182,-0.2036840857144027,-0.015917156260971232,0.9,-1.803051239850152,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",NA,"Maximum one-day rainfall","1960-01-01","2022-12-31",0.2450018330348531,-0.12000000000000029,-0.2804878048780488,0.05,0.9,-1.1625753591550039,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-41.52133,173.86439
"Blenheim (Marlborough)","1961-1990","Very wet days","1960-01-01","2022-12-31",0.809931213329455,0,-0.023809523809523808,0,0.9,-0.24051477146159916,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-41.52133,173.86439
"Blenheim (Marlborough)","1961-1990","Rainfall due to very wet days","1960-01-01","2022-12-31",0.46931568203992324,-0.05714961851223163,-0.17100363857697154,0.06588578432157483,0.9,-0.7235929317819688,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-41.52133,173.86439
"Blenheim (Marlborough)","1991-2020","Very wet days","1960-01-01","2022-12-31",0.4235788639736176,0,-0.03389830508474576,0,0.9,-0.800227733966854,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-41.52133,173.86439
"Blenheim (Marlborough)","1991-2020","Rainfall due to very wet days","1960-01-01","2022-12-31",0.21732715054856988,-0.0951486722944336,-0.2143789426457551,0.029919247012477827,0.9,-1.2336666377922092,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-41.52133,173.86439
"Christchurch (Canterbury)",NA,"Maximum one-day rainfall","1960-01-01","2022-12-31",0.5491110431600242,0.050000000000000204,-0.11851851851851836,0.20344827586206893,0.9,0.5990927393459737,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-43.493,172.537
"Christchurch (Canterbury)","1961-1990","Very wet days","1960-01-01","2022-12-31",0.6098039771348243,0,0,0.029411764705882353,0.9,0.510353286753974,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-43.493,172.537
"Christchurch (Canterbury)","1961-1990","Rainfall due to very wet days","1960-01-01","2022-12-31",0.7353043682615208,0.02622583670647711,-0.10283320146105261,0.16784339837970144,0.9,0.33807805394932305,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-43.493,172.537
"Christchurch (Canterbury)","1991-2020","Very wet days","1960-01-01","2022-12-31",0.5520696736680604,0,0,0.029411764705882353,0.9,0.5946616318066155,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-43.493,172.537
"Christchurch (Canterbury)","1991-2020","Rainfall due to very wet days","1960-01-01","2022-12-31",0.669351321245504,0.03399048437660841,-0.08930446151079227,0.1614593194895294,0.9,0.42703845154345704,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",NA,"Maximum one-day rainfall","1960-01-01","2022-12-31",0.597585223121138,-0.0625,-0.28214285714285736,0.16764705882352948,0.9,-0.5278762596752589,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","1961-1990","Very wet days","1960-01-01","2022-12-31",0.5337439975321139,0,-0.047619047619047616,0,0.9,-0.6223009486432662,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","1961-1990","Rainfall due to very wet days","1960-01-01","2022-12-31",0.7487569632600206,-0.017148013638393116,-0.15292949399386094,0.08647862707866483,0.9,-0.32027883865759277,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","1991-2020","Very wet days","1960-01-01","2022-12-31",0.5296578140993089,0,-0.044444444444444446,0,0.9,-0.6285284519463857,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","1991-2020","Rainfall due to very wet days","1960-01-01","2022-12-31",0.7849838037825136,-0.016872914924258946,-0.14308116202143167,0.08742848627283187,0.9,-0.2728301218194309,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-40.21,176.109
"Dunedin (Otago)",NA,"Maximum one-day rainfall","1960-01-01","2022-12-31",0.04073060955361933,0.24651162790697678,0.05344827586206893,0.44999999999999973,0.9,2.046261905482745,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-45.90129,170.5147
"Dunedin (Otago)","1961-1990","Very wet days","1960-01-01","2022-12-31",0.3817137453691159,0,0,0.044444444444444446,0.9,0.8747430226512657,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-45.90129,170.5147
"Dunedin (Otago)","1961-1990","Rainfall due to very wet days","1960-01-01","2022-12-31",0.06953721601007268,0.1202290259307189,0.008844626139003964,0.238889416020943,0.9,1.8149134190596923,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-45.90129,170.5147
"Dunedin (Otago)","1991-2020","Very wet days","1960-01-01","2022-12-31",0.5052901594563204,0,0,0.03773584905660377,0.9,0.6661892246135019,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-45.90129,170.5147
