"site","period_start","period_end","reference_period","parameter","data_value","lat","lon"
"Auckland (Auckland)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",62.8,-37.00813,174.78873
"Auckland (Auckland)","2022-01-01","2022-12-31","1961-1990","Very wet days",10,-37.00813,174.78873
"Auckland (Auckland)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",30.083857442348013,-37.00813,174.78873
"Auckland (Auckland)","2022-01-01","2022-12-31","1991-2020","Very wet days",11,-37.00813,174.78873
"Auckland (Auckland)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",32.180293501048226,-37.00813,174.78873
"Blenheim (Marlborough)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",72.8,-41.52133,173.86439
"Blenheim (Marlborough)","2022-01-01","2022-12-31","1961-1990","Very wet days",10,-41.52133,173.86439
"Blenheim (Marlborough)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",42.89200180750113,-41.52133,173.86439
"Blenheim (Marlborough)","2022-01-01","2022-12-31","1991-2020","Very wet days",10,-41.52133,173.86439
"Blenheim (Marlborough)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",42.89200180750113,-41.52133,173.86439
"Christchurch (Canterbury)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",57,-43.493,172.537
"Christchurch (Canterbury)","2022-01-01","2022-12-31","1961-1990","Very wet days",10,-43.493,172.537
"Christchurch (Canterbury)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",46.989270856141886,-43.493,172.537
"Christchurch (Canterbury)","2022-01-01","2022-12-31","1991-2020","Very wet days",10,-43.493,172.537
"Christchurch (Canterbury)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",46.989270856141886,-43.493,172.537
"Dannevirke (Manawatū-Whanganui)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",69.6,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","2022-01-01","2022-12-31","1961-1990","Very wet days",12,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",38.031039347860165,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","2022-01-01","2022-12-31","1991-2020","Very wet days",12,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",38.031039347860165,-40.21,176.109
"Dunedin (Otago)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",65.6,-45.90129,170.5147
"Dunedin (Otago)","2022-01-01","2022-12-31","1961-1990","Very wet days",5,-45.90129,170.5147
"Dunedin (Otago)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",33.99363282631765,-45.90129,170.5147
"Dunedin (Otago)","2022-01-01","2022-12-31","1991-2020","Very wet days",5,-45.90129,170.5147
