"site","statistic","season","p_value","slope","conf_low","conf_high","conf_level","intercept","r_squared","sigma","trend_method","n","note","s","var_s","tau","z","alternative","trend_likelihood","period_start","period_end","lat","lon"
"Auckland (Auckland)","Average","Autumn",4.713425174880389e-4,0.022585218702865742,0.012672127846501164,0.03249830955923032,0.9,-0.7182614379084963,0.22276270892095917,0.6335238494522025,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-03-01","2022-05-31",-37.00813,174.78873
"Auckland (Auckland)","Average","Spring",0.003243376169395621,0.016352941176470584,0.00766398405138877,0.025041898301552398,0.9,-0.44334640522875807,0.1635828603544387,0.5552921531101244,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-09-01","2022-11-30",-37.00813,174.78873
"Auckland (Auckland)","Average","Winter",2.1827613670063983e-6,0.02568325791855203,0.017810106645467835,0.03355640919163623,0.9,-0.812797385620915,0.37010751033831796,0.5031557941024454,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-06-01","2022-08-31",-37.00813,174.78873
"Auckland (Auckland)","Maximum","Autumn",1.8729697162169038e-5,0.028820512820512803,0.01882011189072905,0.03882091375029656,0.9,-0.8926666666666665,0.31440758885874315,0.6391036443526958,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-03-01","2022-05-31",-37.00813,174.78873
"Auckland (Auckland)","Maximum","Spring",2.204010795342148e-4,0.022633484162895907,0.013302877821759389,0.03196409050403243,0.9,-0.65343790849673,0.2452225668323406,0.5962985442794312,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-09-01","2022-11-30",-37.00813,174.78873
"Auckland (Auckland)","Maximum","Winter",3.1835763001692466e-8,0.027043740573152335,0.020263244452769294,0.033824236693535376,0.9,-0.8478431372549018,0.4676186624149594,0.433326604751418,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-06-01","2022-08-31",-37.00813,174.78873
"Auckland (Auckland)","Minimum","Autumn",0.016877653244433376,0.016280542986425332,0.005455823445654113,0.027105262527196552,0.9,-0.5420522875816995,0.11103219626218092,0.6917840350779139,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-03-01","2022-05-31",-37.00813,174.78873
"Auckland (Auckland)","Minimum","Spring",0.05446188131797532,0.010639517345399694,0.0017576425962316441,0.019521392094567745,0.9,-0.2521176470588233,0.07341397571305752,0.5676210944674829,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-09-01","2022-11-30",-37.00813,174.78873
"Auckland (Auckland)","Minimum","Winter",1.8432813991364717e-4,0.024769230769230776,0.014699748556056292,0.03483871298240526,0.9,-0.7949150326797386,0.25042785490005753,0.6435184773460499,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-06-01","2022-08-31",-37.00813,174.78873
"Blenheim (Marlborough)","Average","Autumn",0.28703924157242167,0.007511312217194572,-0.00396724233987881,0.018989866774267956,0.9,-0.14490196078431325,0.023097598819806272,0.7335691939588542,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-03-01","2022-05-31",-41.52133,173.86439
"Blenheim (Marlborough)","Average","Spring",0.160559637074261,0.009487179487179481,-0.0014654144736693728,0.020439773448028335,0.9,-0.17633986928104475,0.039780409957183155,0.6999562082202632,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-09-01","2022-11-30",-41.52133,173.86439
"Blenheim (Marlborough)","Average","Winter",2.989608788954626e-5,0.022117647058823534,0.014211228472109113,0.030024065645537952,0.9,-0.6159084967320261,0.3017210567021593,0.5052818350010236,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-06-01","2022-08-31",-41.52133,173.86439
"Blenheim (Marlborough)","Maximum","Autumn",0.04555894216280344,0.014651583710407229,0.0029055969671355313,0.026397570453678926,0.9,-0.3817908496732014,0.07911418283378983,0.7506601972112855,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-03-01","2022-05-31",-41.52133,173.86439
"Blenheim (Marlborough)","Maximum","Spring",0.1304114850166797,0.01072699849170436,-7.431200802934558e-4,0.022197117063702174,0.9,-0.24033986928104467,0.04606770829854651,0.7330300686934418,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-09-01","2022-11-30",-41.52133,173.86439
"Blenheim (Marlborough)","Maximum","Winter",3.399951551979517e-5,0.021013574660633486,0.013438507480678524,0.028588641840588448,0.9,-0.6090980392156862,0.2981956898955054,0.4841058948453981,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-06-01","2022-08-31",-41.52133,173.86439
"Blenheim (Marlborough)","Minimum","Autumn",0.9330709515959006,6.787330316742017e-4,-0.012546702703306916,0.01390416876665532,0.9,0.08627450980392151,1.454029684704112e-4,0.8452085307105364,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-03-01","2022-05-31",-41.52133,173.86439
"Blenheim (Marlborough)","Minimum","Spring",0.2808701211374248,0.008434389140271484,-0.0042887707316790775,0.021157549012222047,0.9,-0.12386928104575148,0.023689915351918125,0.8131091842156188,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-09-01","2022-11-30",-41.52133,173.86439
"Blenheim (Marlborough)","Minimum","Winter",4.967852956811322e-4,0.022923076923076942,0.012815787520052684,0.0330303663261012,0.9,-0.6100522875816995,0.2211903512742416,0.645934651755994,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-06-01","2022-08-31",-41.52133,173.86439
"Christchurch (Canterbury)","Average","Autumn",0.26120122996162065,0.007671191553544491,-0.0034295624909888474,0.01877194559807783,0.9,-0.15487581699346437,0.025690702201114624,0.7094247935395123,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-03-01","2022-05-31",-43.493,172.537
"Christchurch (Canterbury)","Average","Spring",0.86583370930736,-0.0011583710407239878,-0.012376745639517385,0.010060003558069408,0.9,0.20077124183006512,5.883535084645198e-4,0.7169416646535999,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-09-01","2022-11-30",-43.493,172.537
"Christchurch (Canterbury)","Average","Winter",3.358145105793847e-5,0.02024434389140272,0.012952492720779743,0.027536195062025697,0.9,-0.5591633986928105,0.2985354848574169,0.4660061821464781,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-06-01","2022-08-31",-43.493,172.537
"Christchurch (Canterbury)","Maximum","Autumn",0.05064483584310011,0.01628054298642533,0.0029158794710676447,0.02964520650178301,0.9,-0.3885882352941154,0.07573178037072865,0.854106272156961,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-03-01","2022-05-31",-43.493,172.537
"Christchurch (Canterbury)","Maximum","Spring",0.2315179555137647,0.010781297134238296,-0.0038565935528588075,0.0254191878213354,0.9,-0.2346928104575156,0.02908211362980409,0.9354754223801346,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-09-01","2022-11-30",-43.493,172.537
"Christchurch (Canterbury)","Maximum","Winter",1.0944217235986531e-5,0.027092006033182493,0.01799502516441458,0.03618898690195041,0.9,-0.8242614379084955,0.32873208157742406,0.5813680538068233,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-06-01","2022-08-31",-43.493,172.537
"Christchurch (Canterbury)","Minimum","Autumn",0.8753479896500616,-0.0011282051282051407,-0.012896328488798023,0.010639918232387741,0.9,0.08783006535947725,5.072240149952388e-4,0.7520748997720074,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-03-01","2022-05-31",-43.493,172.537
"Christchurch (Canterbury)","Minimum","Spring",0.09320008283447596,-0.012546003016591256,-0.02459919474018824,-4.928112929942739e-4,0.9,0.6226013071895423,0.05644583665553172,0.7702929923229744,"Linear model",51,NA,NA,NA,NA,NA,NA,NA,"1972-09-01","2022-11-30",-43.493,172.537
