rate_C_year,location,lat,long,spatial_extent,method_LSWT,method_LSWT_standard,method_trend,aggregation_mean_min_max_etc,annual_seasonal_data,temporal_aggregation,n_lakes,n_years,min_year,max_year,paper_source,citation,citation_short,journal,other notes?,link,comment from Whitney,comment on comparing studies,reviewer 1,reviewer 2
0.034,World,0,-176,global,remote sensing and in situ,sallite and in situ,Sen's slope,mean,summer,summer,235,24,1985,2009,,"O'Reilly, C. M., Sharma, S., Gray, D. K., Hampton, S. E., Read, J. S., Rowley, R. J., ... & Zhang, G. (2015). Rapid and highly variable warming of lake surface waters around the globe. Geophysical Research Letters, 42(24), 10-773.",O'Reilly et al. 2015,,,,,,,
0.05,Poland,54.01719751,18.53307838,country,machine learning reconstruction of in situ observations,modelled and in situ,Sen's slope,mean,annual,annual,13,29,1993,2022,,"Sojka, M., & Ptak, M. (2024). Reconstruction of Surface Water Temperature in Lakes as a Source for Long-Term Analysis of Its Changes. Water, 16(23), 3347.",Sojka and Ptak 2024,Water (MDPI),"they look at monthly rates of change (November having largest, May having smallest); useful reference to World Meteorological Organization (2019) stating that 30-year trends are best practice for climatic analyses, found only warming trends in these lakes",https://www.mdpi.com/2073-4441/16/23/3347,,,,
0.023,"Lake Inari, Arctic zone",69.05006353,27.79468173,point,modelled using machine learning + air temp,modelled,Pinhas's method (linear regression + ANOVA),mean,annual,annual,1,63,1960,2023,,"Kim, H. I., Kim, D., Salamattalab, M. M., Mahdian, M., Bateni, S. M., & Noori, R. (2024). Machine learning-based modeling of surface water temperature dynamics in arctic lakes. Environmental Science and Pollution Research, 31(49), 59642-59655.",Kim et al. 2004,Environmental Science and Pollution Research,they talk about Sen's slope but say Pinhas's method is better,https://link-springer-com.ezproxy.waikato.ac.nz/article/10.1007/s11356-024-35173-x,,,,
0.04,Europe,55.68930227,14.86411692,region,"In situ, satellite, used skin validation with bulk . Included a probability cloud mask after Musial et al. ",satellite,,mean,annual,annual,26,35,1981,2016,,"Lieberherr, G., & Wunderle, S. (2018). Lake surface water temperature derived from 35 years of AVHRR sensor data for European lakes. Remote sensing, 10(7), 990.",Lieberherr and Wunderle 2018,Remote Sensing (MDPI),"also calculate seasonal trends; Increasing trends from south (Lake Trichonida 0.21 K/decade,) to north (Inarijärvi 0.50 K/decade), and west (Thingvallavatn 0.38 K/decade) to east (Lake Onega 0.76 K/decade. ""They talk about the correction methods for the skin to bulk difference and that it didn't improve the validation performance: ""The method, applied to LSWT, only affects the systematic bias and has no effect on the variance of the error.""  ""Schneider and Hook  mention elevated summer trends in Northern Europe of up to around 0.8 K/dec""",https://www.mdpi.com/2072-4292/10/7/990 ,,,,
0.037,Tibetan Plateau (Asia),31.67525563,87.80117456,region,"In situ, Satellite, derived by MODIS and Land Surface Temperature (LST)",satellite,"Linear trend analysis, statistical significance",mean,winter,winter,374,14,2001,2015,,"Wan, W., Zhao, L., Xie, H., Liu, B., Li, H., Cui, Y., ... & Hong, Y. (2018). Lake surface water temperature change over the Tibetan plateau from 2001 to 2015: A sensitive indicator of the warming climate. Geophysical Research Letters, 45(20), 11-177.",Wan et al. 2018,Geophysical Research Letters,Has warming (0.076 °C/year) and cooling (?0.053 °C/year) lakes.  also reports seasonal means,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GL078601 ,,,,
0.072,Tibetan Plateau (Asia),31.67525563,87.80117456,region,"In situ, Satellite, derived by MODIS and Land Surface Temperature (LST)",satellite,"Linear trend analysis, statistical significance",mean,autumn,autumn,374,14,2001,2015,,"Wan, W., Zhao, L., Xie, H., Liu, B., Li, H., Cui, Y., ... & Hong, Y. (2018). Lake surface water temperature change over the Tibetan plateau from 2001 to 2015: A sensitive indicator of the warming climate. Geophysical Research Letters, 45(20), 11-177.",Wan et al. 2018,Geophysical Research Letters,Has warming (0.076 °C/year) and cooling (?0.053 °C/year) lakes.  also reports seasonal means,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GL078601 ,,,,
0.023,Tibetan Plateau (Asia),31.67525563,87.80117456,region,"In situ, Satellite, derived by MODIS and Land Surface Temperature (LST)",satellite,"Linear trend analysis, statistical significance",mean,summer,summer,374,14,2001,2015,,"Wan, W., Zhao, L., Xie, H., Liu, B., Li, H., Cui, Y., ... & Hong, Y. (2018). Lake surface water temperature change over the Tibetan plateau from 2001 to 2015: A sensitive indicator of the warming climate. Geophysical Research Letters, 45(20), 11-177.",Wan et al. 2018,Geophysical Research Letters,Has warming (0.076 °C/year) and cooling (?0.053 °C/year) lakes.  also reports seasonal means,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GL078601 ,,,,
0.019,Tibetan Plateau (Asia),31.67525563,87.80117456,region,"In situ, Satellite, derived by MODIS and Land Surface Temperature (LST)",satellite,"Linear trend analysis, statistical significance",mean,spring,spring,374,14,2001,2015,,"Wan, W., Zhao, L., Xie, H., Liu, B., Li, H., Cui, Y., ... & Hong, Y. (2018). Lake surface water temperature change over the Tibetan plateau from 2001 to 2015: A sensitive indicator of the warming climate. Geophysical Research Letters, 45(20), 11-177.",Wan et al. 2018,Geophysical Research Letters,Has warming (0.076 °C/year) and cooling (?0.053 °C/year) lakes.  also reports seasonal means,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GL078601 ,,,,
0.037,Tibetan Plateau (Asia),31.67525563,87.80117456,region,"In situ, Satellite, derived by MODIS and Land Surface Temperature (LST)",satellite,"Linear trend analysis, statistical significance",mean,annual,annual,374,14,2001,2015,,"Wan, W., Zhao, L., Xie, H., Liu, B., Li, H., Cui, Y., ... & Hong, Y. (2018). Lake surface water temperature change over the Tibetan plateau from 2001 to 2015: A sensitive indicator of the warming climate. Geophysical Research Letters, 45(20), 11-177.",Wan et al. 2018,Geophysical Research Letters,Has warming (0.076 °C/year) and cooling (?0.053 °C/year) lakes.  also reports seasonal means,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GL078601 ,,,,
0.024,China,34.34110332,103.527215,country,remote sensing skin temp (google earth engine + time series modelling to fill gaps),satellite,linear regression,mean,annual,annual,1451,20,2001,2021,,"Song, S., Yang, J., Liu, L., Bai, G., Zhou, J., & McKay, D. (2024). Lake surface water temperature in China from 2001 to 2021 based on GEE and HANTS. Ecological Informatics, 84, 102903.",Song et al. 2024,Ecological Informatics," (726 of lakes were small, 1-5 km2); Fig 8 shows the effect of lake area and elevation LSWT change; they found nighttime temps increased more than daytime temps, looks like they use skin temperature without correcting for bulk temperature, also noted an abrupt change in the rate of LSWT change around 2010, good notes on reasons for slower rate of change in LSWT (no ice, models may exaggerate in other studies)",https://www.sciencedirect.com/science/article/pii/S157495412400445X,,,,
